Vds	Id(M1)
Step Information: Vgs=2  (Step: 1/6)
0.000000000000000e+00	2.171391e-31
1.000000000000000e-01	8.079276e-02
2.000000000000000e-01	8.082762e-02
3.000000000000000e-01	8.087978e-02
4.000000000000000e-01	8.091350e-02
5.000000000000000e-01	8.094722e-02
6.000000000000001e-01	8.098094e-02
7.000000000000001e-01	8.101466e-02
8.000000000000000e-01	8.104838e-02
9.000000000000000e-01	8.108210e-02
1.000000000000000e+00	8.111582e-02
1.100000000000000e+00	8.114953e-02
1.200000000000000e+00	8.118325e-02
1.300000000000000e+00	8.121697e-02
1.400000000000000e+00	8.125068e-02
1.500000000000000e+00	8.128440e-02
1.600000000000000e+00	8.131810e-02
1.700000000000000e+00	8.135182e-02
1.800000000000000e+00	8.138553e-02
1.900000000000000e+00	8.141924e-02
2.000000000000000e+00	8.145294e-02
2.100000000000000e+00	8.148666e-02
2.200000000000000e+00	8.152036e-02
2.300000000000000e+00	8.155407e-02
2.400000000000000e+00	8.158778e-02
2.500000000000000e+00	8.162148e-02
2.600000000000000e+00	8.165518e-02
2.700000000000000e+00	8.168888e-02
2.800000000000000e+00	8.172259e-02
2.900000000000000e+00	8.175629e-02
3.000000000000000e+00	8.178999e-02
3.100000000000000e+00	8.182368e-02
3.200000000000000e+00	8.185738e-02
3.300000000000000e+00	8.189108e-02
3.400000000000000e+00	8.192478e-02
3.500000000000000e+00	8.195847e-02
3.600000000000000e+00	8.199217e-02
3.700000000000000e+00	8.202586e-02
3.800000000000000e+00	8.205956e-02
3.900000000000000e+00	8.209325e-02
4.000000000000000e+00	8.212695e-02
4.100000000000001e+00	8.216064e-02
4.200000000000000e+00	8.219432e-02
4.300000000000000e+00	8.222801e-02
4.400000000000000e+00	8.226170e-02
4.500000000000000e+00	8.229539e-02
4.600000000000001e+00	8.232908e-02
4.700000000000000e+00	8.236276e-02
4.800000000000001e+00	8.239645e-02
4.900000000000000e+00	8.243013e-02
5.000000000000000e+00	8.246382e-02
5.100000000000001e+00	8.249750e-02
5.200000000000000e+00	8.253118e-02
5.300000000000001e+00	8.256486e-02
5.400000000000000e+00	8.259854e-02
5.500000000000000e+00	8.263221e-02
5.600000000000001e+00	8.266590e-02
5.700000000000000e+00	8.269957e-02
5.800000000000001e+00	8.273325e-02
5.900000000000000e+00	8.276693e-02
6.000000000000000e+00	8.280060e-02
6.100000000000001e+00	8.283427e-02
6.200000000000000e+00	8.286794e-02
6.300000000000001e+00	8.290162e-02
6.400000000000000e+00	8.293529e-02
6.500000000000000e+00	8.296896e-02
6.600000000000001e+00	8.300263e-02
6.700000000000000e+00	8.303630e-02
6.800000000000001e+00	8.306997e-02
6.900000000000000e+00	8.310363e-02
7.000000000000000e+00	8.313730e-02
7.100000000000001e+00	8.317097e-02
7.200000000000000e+00	8.320463e-02
7.300000000000001e+00	8.323829e-02
7.400000000000000e+00	8.327196e-02
7.500000000000000e+00	8.330562e-02
7.600000000000001e+00	8.333927e-02
7.700000000000000e+00	8.337294e-02
7.800000000000001e+00	8.340660e-02
7.900000000000000e+00	8.344025e-02
8.000000000000000e+00	8.347391e-02
8.100000000000000e+00	8.350757e-02
8.200000000000001e+00	8.354122e-02
8.300000000000001e+00	8.357488e-02
8.400000000000000e+00	8.360854e-02
8.500000000000000e+00	8.364218e-02
8.600000000000000e+00	8.367584e-02
8.700000000000001e+00	8.370949e-02
8.800000000000001e+00	8.374314e-02
8.900000000000000e+00	8.377679e-02
9.000000000000000e+00	8.381044e-02
9.100000000000000e+00	8.384409e-02
9.200000000000001e+00	8.387773e-02
9.300000000000001e+00	8.391138e-02
9.400000000000000e+00	8.394503e-02
9.500000000000000e+00	8.397868e-02
9.600000000000001e+00	8.401231e-02
9.700000000000001e+00	8.404596e-02
9.800000000000001e+00	8.407960e-02
9.900000000000000e+00	8.411325e-02
1.000000000000000e+01	8.414689e-02
1.010000000000000e+01	8.418053e-02
1.020000000000000e+01	8.421417e-02
1.030000000000000e+01	8.424780e-02
1.040000000000000e+01	8.428144e-02
1.050000000000000e+01	8.431508e-02
1.060000000000000e+01	8.434871e-02
1.070000000000000e+01	8.438235e-02
1.080000000000000e+01	8.441598e-02
1.090000000000000e+01	8.444961e-02
1.100000000000000e+01	8.448324e-02
1.110000000000000e+01	8.451688e-02
1.120000000000000e+01	8.455051e-02
1.130000000000000e+01	8.458413e-02
1.140000000000000e+01	8.461776e-02
1.150000000000000e+01	8.465139e-02
1.160000000000000e+01	8.468502e-02
1.170000000000000e+01	8.471864e-02
1.180000000000000e+01	8.475227e-02
1.190000000000000e+01	8.478589e-02
1.200000000000000e+01	8.481952e-02
1.210000000000000e+01	8.485314e-02
1.220000000000000e+01	8.488676e-02
1.230000000000000e+01	8.492038e-02
1.240000000000000e+01	8.495400e-02
1.250000000000000e+01	8.498762e-02
1.260000000000000e+01	8.502124e-02
1.270000000000000e+01	8.505486e-02
1.280000000000000e+01	8.508848e-02
1.290000000000000e+01	8.512209e-02
1.300000000000000e+01	8.515570e-02
1.310000000000000e+01	8.518932e-02
1.320000000000000e+01	8.522293e-02
1.330000000000000e+01	8.525655e-02
1.340000000000000e+01	8.529016e-02
1.350000000000000e+01	8.532377e-02
1.360000000000000e+01	8.535738e-02
1.370000000000000e+01	8.539099e-02
1.380000000000000e+01	8.542459e-02
1.390000000000000e+01	8.545820e-02
1.400000000000000e+01	8.549181e-02
1.410000000000000e+01	8.552542e-02
1.420000000000000e+01	8.555902e-02
1.430000000000000e+01	8.559262e-02
1.440000000000000e+01	8.562622e-02
1.450000000000000e+01	8.565982e-02
1.460000000000000e+01	8.569343e-02
1.470000000000000e+01	8.572703e-02
1.480000000000000e+01	8.576063e-02
1.490000000000000e+01	8.579423e-02
1.500000000000000e+01	8.582783e-02
1.510000000000000e+01	8.586142e-02
1.520000000000000e+01	8.589502e-02
